Time;ABREVIAÇÃO;jogos;V;D;V_CASA;V_VISITANTE;V_CONF;D_CASA;D_VISITANTE;D_CONF;PTS;PTS CONTRA;CONFERÊNCIA
Milwaukee Bucks;MIL;82;58;24;32;26;35;9;15;17;116.9;113.3;LESTE
Boston Celtics;BOS;82;57;25;32;25;34;9;16;18;117.9;111.4;LESTE
Philadelphia 76ers;PHI;82;54;28;29;25;34;12;16;18;115.2;110.9;LESTE
Cleveland Cavaliers;CLE;82;51;31;31;20;34;10;21;18;112.3;106.9;LESTE
New York Knicks;NYK;82;47;35;23;24;32;18;17;20;116.0;113.1;LESTE
Brooklyn Nets;BKN;82;45;37;23;22;30;18;19;22;113.4;112.5;LESTE
Atlanta Hawks;ATL;82;41;41;24;17;26;17;24;26;118.4;118.1;LESTE
Miami Heat;MIA;82;44;38;27;17;24;14;24;28;109.5;109.8;LESTE
Chicago Bulls;CHI;82;40;42;22;18;27;19;23;25;113.1;111.8;LESTE
Toronto Raptors;TOR;82;41;41;27;14;26;14;27;26;112.9;111.4;LESTE
Indiana Pacers;IND;82;35;47;20;15;24;21;26;28;116.3;119.5;LESTE
Washington Wizards;WAS;82;35;47;19;16;21;22;25;31;113.2;114.4;LESTE
Orlando Magic;ORL;82;34;48;20;14;20;21;27;32;111.4;114.0;LESTE
Charlotte Hornets;CHA;82;27;55;13;14;15;28;27;37;111.0;117.2;LESTE
Detroit Pistons;DET;82;17;65;9;8;8;32;33;44;110.3;118.5;LESTE
Denver Nuggets;DEN;82;53;29;34;19;34;7;22;18;115.8;112.5;OESTE
Memphis Grizzlies;MEM;82;51;31;35;16;30;6;25;22;116.9;113.0;OESTE
Sacramento Kings;SAC;82;48;34;23;25;32;18;16;20;120.7;118.1;OESTE
Phoenix Suns;PHX;82;45;37;28;17;30;13;24;22;113.6;111.6;OESTE
Los Angeles Clippers;LAC;82;44;38;23;21;27;18;20;25;113.6;113.1;OESTE
Golden State Warriors;GSW;82;44;38;33;11;30;8;30;22;118.9;117.1;OESTE
Los Angeles Lakers;LAL;82;43;39;23;20;27;18;21;25;117.2;116.6;OESTE
Minnesota Timberwolves;MIN;82;42;40;22;20;29;19;21;23;115.8;115.8;OESTE
Oklahoma City Thunder;OKC;82;40;42;24;16;25;17;25;27;117.5;116.4;OESTE
New Orleans Pelicans;NOP;82;42;40;27;15;29;14;26;23;114.4;112.5;OESTE
Dallas Mavericks;DAL;82;38;44;23;15;28;18;26;24;114.2;114.1;OESTE
Utah Jazz;UTA;82;37;45;23;14;24;18;27;28;117.1;118.0;OESTE
Portland Trail Blazers;POR;82;33;49;17;16;23;24;25;29;113.4;117.4;OESTE
Houston Rockets;HOU;82;22;60;14;8;12;27;33;40;110.7;118.6;OESTE
San Antonio Spurs;SAS;82;22;60;14;8;10;27;33;42;113.0;123.1;OESTE
